index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
1	3	1	A1-B1	A1-B2	2.169197397	2.564102564	0.827	6.958	0.827	0.796	1.654	7.754	6	6	0.047	0.031	5.071	5.070	11	13	3	2	TRUE	FALSE
2	5	24	A1-B1	A1-B2	2.169625247	1.775147929	0.655	0.468	0.858	0.858	1.513	1.326	6	6	0.062	0.031	5.070	5.070	11	9	1	7	TRUE	FALSE
3	6	25	A1-B1	A1-B2	1.972386588	4.536489152	0.624	0.905	0.811	0.904	1.435	1.809	6	6	0.031	0.078	5.070	5.070	10	23	1	4	TRUE	FALSE
4	13	31	A1-B1	A1-B2	2.169625247	2.366863905	0.671	0.733	0.858	0.952	1.529	1.685	6	6	0.000	0.078	5.070	5.070	11	12	1	6	TRUE	FALSE
5	14	32	A1-B1	A1-B2	1.972386588	4.536489152	0.686	0.640	0.874	0.889	1.560	1.529	6	6	0.031	0.062	5.070	5.070	10	23	3	3	TRUE	FALSE
6	2	9	A2-B2	A2-B1	2.169625247	3.550295858	0.873	0.843	0.874	0.904	1.747	1.747	6	6	0.015	0.031	5.070	5.070	11	18	2	4	TRUE	FALSE
7	8	12	A2-B2	A2-B1	2.169625247	1.57790927	0.920	0.687	0.920	0.936	1.840	1.623	6	6	0.000	0.078	5.070	5.070	11	8	3	7	TRUE	FALSE
8	17	15	A2-B2	A2-B1	2.169625247	4.116839835	0.624	0.608	0.842	0.921	1.466	1.529	6	6	0.031	0.062	5.070	5.101	11	21	2	4	TRUE	FALSE
9	26	19	A2-B2	A2-B1	2.169625247	3.15581854	0.796	0.702	0.920	0.936	1.716	1.638	6	6	0.062	0.078	5.070	5.070	11	16	2	4	TRUE	FALSE
10	38	20	A2-B2	A2-B1	2.169625247	4.339250493	0.702	0.702	0.890	0.874	1.592	1.576	6	6	0.078	0.047	5.070	5.070	11	22	2	1	TRUE	FALSE
