index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
1	5	6	A1-B1	A1-B2	0.9800078401	4.5926517572	NA	NA	NA	NA	1.685	2.792	6	6	NA	NA	5.102	5.008	5	23	0	1	TRUE	FALSE
2	18	9	A1-B1	A1-B2	0.905469033	4.200146092	NA	NA	NA	NA	2.293	2.403	6	6	NA	NA	5.522	5.476	5	23	0	1	TRUE	FALSE
3	23	11	A1-B1	A1-B2	0.9028530155	3.663003663	NA	NA	NA	NA	3.292	1.872	6	6	NA	NA	5.538	4.914	5	18	0	0	TRUE	FALSE
4	34	26	A1-B1	A1-B2	0.6910850035	3.4837136387	NA	NA	NA	NA	3.042	4.103	6	6	NA	NA	5.788	5.741	4	20	0	0	TRUE	FALSE
5	39	28	A1-B1	A1-B2	0.7411524921	1.4155712841	NA	NA	NA	NA	3.432	4.883	6	6	NA	NA	5.397	4.945	4	7	1	3	TRUE	FALSE
6	3	12	A2-B2	A2-B1	1.0273268954	2.886002886	NA	NA	NA	NA	1.919	1.935	6	6	NA	NA	4.867	4.851	5	14	0	1	TRUE	FALSE
7	14	17	A2-B2	A2-B1	0.5917159763	3.4489754514	NA	NA	NA	NA	3.76	1.872	6	6	NA	NA	5.07	4.929	3	17	0	1	TRUE	FALSE
8	22	21	A2-B2	A2-B1	0.8781173165	1.9368584156	NA	NA	NA	NA	3.12	6.708	6	6	NA	NA	5.694	5.163	5	10	0	1	TRUE	FALSE
9	29	31	A2-B2	A2-B1	0.693000693	1.9862766342	NA	NA	NA	NA	3.042	2.278	6	6	NA	NA	5.772	5.538	4	11	0	0	TRUE	FALSE
10	32	33	A2-B2	A2-B1	0.6124948959	1.5847860539	NA	NA	NA	NA	2.917	2.121	6	6	NA	NA	4.898	5.679	3	9	0	2	TRUE	FALSE
11	1	15	B1-A1	B1-A2	0.9861932939	2.0676691729	NA	NA	NA	NA	12.855	1.466	6	6	NA	NA	5.07	5.32	5	11	1	1	TRUE	FALSE
12	4	16	B1-A1	B1-A2	0.9400263207	3.3462486791	NA	NA	NA	NA	2.496	2.122	6	6	NA	NA	5.319	5.678	5	19	1	1	TRUE	FALSE
13	8	19	B1-A1	B1-A2	0.7987220447	2.7275826798	NA	NA	NA	NA	1.779	3.105	6	6	NA	NA	5.008	5.866	4	16	0	1	TRUE	FALSE
14	25	35	B1-A1	B1-A2	0.8324661811	2.1109192094	NA	NA	NA	NA	1.997	3.604	6	6	NA	NA	4.805	5.211	4	11	1	1	TRUE	FALSE
15	36	37	B1-A1	B1-A2	0.554221319	1.7513134851	NA	NA	NA	NA	5.445	2.106	6	6	NA	NA	5.413	5.71	3	10	0	0	TRUE	FALSE
16	7	2	B2-A2	B2-A1	0.8662508663	4.01836969	NA	NA	NA	NA	3.058	1.56	6	6	NA	NA	5.772	5.226	5	21	1	1	TRUE	FALSE
17	10	13	B2-A2	B2-A1	0.7722007722	2.4799694773	NA	NA	NA	NA	3.635	5.6	6	6	NA	NA	5.18	5.242	4	13	2	3	TRUE	FALSE
18	27	20	B2-A2	B2-A1	0.5226480836	1.7537022603	NA	NA	NA	NA	4.087	2.683	6	6	NA	NA	5.74	5.132	3	9	0	4	TRUE	FALSE
19	38	24	B2-A2	B2-A1	0.5402485143	3.813328491	NA	NA	NA	NA	4.305	2.308	6	6	NA	NA	5.553	5.507	3	21	1	0	TRUE	FALSE
20	40	30	B2-A2	B2-A1	0.7326007326	1.4445648248	NA	NA	NA	NA	3.37	4.321	6	6	NA	NA	5.46	5.538	4	8	1	0	TRUE	FALSE
21	5	4	A1-B1	A1-B2	0.6986899563	2.3210141046	NA	NA	NA	NA	3.089	2.2	6	6	NA	NA	5.725	5.601	4	13	2	1	TRUE	FALSE
22	15	9	A1-B1	A1-B2	0.7162041182	3.1612223393	NA	NA	NA	NA	2.215	2.106	6	6	NA	NA	5.585	5.694	4	18	1	0	TRUE	FALSE
23	24	18	A1-B1	A1-B2	0.814000814	2.9295192142	NA	NA	NA	NA	2.917	3.12	6	6	NA	NA	4.914	5.803	4	17	0	3	TRUE	FALSE
24	28	20	A1-B1	A1-B2	0.9157509158	2.9136316337	NA	NA	NA	NA	3.37	1.997	6	6	NA	NA	5.46	4.805	5	14	1	2	TRUE	FALSE
25	31	34	A1-B1	A1-B2	0.7305936073	2.3675104717	NA	NA	NA	NA	2.325	3.51	6	6	NA	NA	5.475	5.491	4	13	0	0	TRUE	FALSE
26	8	12	A2-B2	A2-B1	0.9155832265	4.5787545788	NA	NA	NA	NA	2.356	2.355	6	6	NA	NA	5.461	5.46	5	25	0	3	TRUE	FALSE
27	11	16	A2-B2	A2-B1	0.6105006105	2.5641025641	NA	NA	NA	NA	1.872	5.382	6	6	NA	NA	4.914	5.46	3	14	1	1	TRUE	FALSE
28	14	21	A2-B2	A2-B1	0.9426847662	2.3474178404	NA	NA	NA	NA	2.496	3.292	6	6	NA	NA	5.304	5.538	5	13	1	1	TRUE	FALSE
29	19	35	A2-B2	A2-B1	0.8326394671	1.4152850789	NA	NA	NA	NA	7.051	1.841	6	6	NA	NA	4.804	4.946	4	7	0	0	TRUE	FALSE
30	33	39	A2-B2	A2-B1	0.7794232268	2.2527134958	NA	NA	NA	NA	2.683	5.96	6	6	NA	NA	5.132	4.883	4	11	1	2	TRUE	FALSE
31	2	6	B1-A1	B1-A2	0.6910850035	2.6475037821	NA	NA	NA	NA	3.042	4.556	6	6	NA	NA	5.788	5.288	4	14	1	2	TRUE	FALSE
32	13	7	B1-A1	B1-A2	0.7520210566	2.947678703	NA	NA	NA	NA	3.51	3.4	6	6	NA	NA	5.319	5.428	4	16	3	4	TRUE	FALSE
33	23	25	B1-A1	B1-A2	0.8352474421	2.5935531678	NA	NA	NA	NA	3.026	2.402	6	6	NA	NA	4.789	5.398	4	14	0	0	TRUE	FALSE
34	30	36	B1-A1	B1-A2	0.7963368505	3.2917532918	NA	NA	NA	NA	6.833	4.072	6	6	NA	NA	5.023	5.772	4	19	0	2	TRUE	FALSE
35	40	38	B1-A1	B1-A2	0.9157509158	1.4776505356	NA	NA	NA	NA	4.368	5.429	6	6	NA	NA	5.46	5.414	5	8	2	1	TRUE	FALSE
