index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
1	15	3	A1-B1	A1-B2	1.775147929	2.169625247	2.059	2.543	1.045	1.981	3.104	4.524	6	6	0.592	0.936	5.07	5.07	9	11	0	0	TRUE	FALSE
2	17	7	A1-B1	A1-B2	0.591715976	0.246548323	1.591	3.9	1.389	1.248	2.98	5.148	6	6	0.577	1.466	5.07	4.056	3	1	0	0	TRUE	TRUE
3	22	16	A1-B1	A1-B2	1.183431953	2.761341223	2.09	1.201	1.108	1.17	3.198	2.371	6	6	0.702	0.577	5.07	5.07	6	14	0	0	TRUE	FALSE
4	24	35	A1-B1	A1-B2	1.183431953	2.282670725	1.311	1.591	1.435	1.31	2.746	2.901	6	6	0.78	0.655	5.07	5.257	6	12	0	0	TRUE	FALSE
5	39	36	A1-B1	A1-B2	1.183431953	1.57790927	1.045	1.389	1.249	0.873	2.294	2.262	6	6	0.78	0.702	5.07	5.07	6	8	0	0	TRUE	FALSE
6	1	4	A2-B2	A2-B1	1.380670611	0.591715976	11.295	2.387	36.005	1.763	47.3	4.15	6	6	0.983	1.029	5.07	5.07	7	3	0	0	TRUE	FALSE
7	13	11	A2-B2	A2-B1	1.57790927	1.57790927	1.404	4.789	1.155	1.03	2.559	5.819	6	6	0.531	0.749	5.07	5.07	8	8	0	0	TRUE	FALSE
8	23	19	A2-B2	A2-B1	1.380670611	1.183431953	1.919	1.84	1.03	1.202	2.949	3.042	6	6	0.624	0.484	5.07	5.07	7	6	0	0	TRUE	FALSE
9	33	20	A2-B2	A2-B1	1.183431953	0.985998817	1.045	2.013	0.967	1.919	2.012	3.932	6	6	0.639	0.609	5.07	5.071	6	5	0	0	TRUE	FALSE
10	34	40	A2-B2	A2-B1	1.775147929	0.986193294	0.936	1.17	1.451	1.107	2.387	2.277	6	6	0.655	0.733	5.07	5.07	9	5	0	0	TRUE	FALSE
11	5	8	B1-A2	B1-A1	0	2.761341223	1.341	2.932	1.607	1.311	2.948	4.243	6	6	NA	1.482	4.056	5.07	0	14	0	0	FALSE	FALSE
12	12	9	B1-A2	B1-A1	1.183431953	0.493096647	1.826	2.246	1.497	1.42	3.323	3.666	6	6	0.671	1.95	5.07	4.056	6	2	0	0	TRUE	TRUE
13	21	14	B1-A2	B1-A1	1.380670611	1.775147929	1.996	1.529	1.56	1.513	3.556	3.042	6	6	0.64	0.546	5.07	5.07	7	9	0	0	TRUE	FALSE
14	32	31	B1-A2	B1-A1	1.183431953	1.972386588	2.527	1.7	0.936	1.264	3.463	2.964	6	6	0.499	0.671	5.07	5.07	6	10	0	0	TRUE	FALSE
15	38	37	B1-A2	B1-A1	1.183431953	1.57790927	1.794	5.008	1.45	1.435	3.244	6.443	6	6	0.718	0.702	5.07	5.07	6	8	0	0	TRUE	FALSE
16	10	2	B2-A1	B2-A2	0.788954635	2.564102564	3.791	2.137	1.919	1.154	5.71	3.291	6	6	2.683	0.921	5.07	5.07	4	13	0	0	TRUE	FALSE
17	25	6	B2-A1	B2-A2	1.183431953	0	1.326	3.338	1.279	1.591	2.605	4.929	6	6	0.858	NA	5.07	4.056	6	0	0	1	TRUE	TRUE
18	27	18	B2-A1	B2-A2	1.183431953	1.972386588	1.529	0.999	1.201	1.497	2.73	2.496	6	6	0.655	0.64	5.07	5.07	6	10	0	0	TRUE	FALSE
19	28	26	B2-A1	B2-A2	2.169625247	1.775147929	1.17	1.264	0.952	1.341	2.122	2.605	6	6	0.514	0.64	5.07	5.07	11	9	0	0	TRUE	FALSE
20	30	29	B2-A1	B2-A2	1.380670611	1.380398344	2.121	1.373	0.796	0.936	2.917	2.309	6	6	0.452	0.843	5.07	5.071	7	7	1	1	TRUE	FALSE
21	9	13	A1-B1	A1-B2	0.246548323	2.169625247	1.872	1.435	1.778	1.357	3.65	2.792	6	6	1.404	0.655	4.056	5.07	1	11	0	0	FALSE	FALSE
22	12	21	A1-B1	A1-B2	0.493096647	2.169625247	2.636	0.921	0.921	1.014	3.557	1.935	6	6	1.201	0.765	4.056	5.07	2	11	0	1	FALSE	FALSE
23	14	24	A1-B1	A1-B2	0.493096647	2.309913378	1.778	0.78	1.077	1.045	2.855	1.825	6	6	1.903	0.874	4.056	5.195	2	12	0	0	FALSE	FALSE
24	19	25	A1-B1	A1-B2	0	0.788954635	2.621	1.654	1.17	1.076	3.791	2.73	6	6	NA	0.983	4.056	5.07	0	4	0	0	FALSE	FALSE
25	23	30	A1-B1	A1-B2	1.183431953	0.246548323	1.685	0.905	1.154	1.216	2.839	2.121	6	6	1.825	1.107	5.07	4.056	6	1	0	0	TRUE	TRUE
26	2	6	A2-B2	A2-B1	1.380670611	0.591715976	3.12	1.607	1.654	1.56	4.774	3.167	6	6	0.796	1.092	5.07	5.07	7	3	0	0	TRUE	FALSE
27	5	11	A2-B2	A2-B1	1.183431953	0	2.23	2.043	1.576	1.404	3.806	3.447	6	6	0.967	NA	5.07	4.056	6	0	0	0	TRUE	TRUE
28	7	16	A2-B2	A2-B1	1.183431953	0.246548323	67.143	1.778	1.794	1.311	68.937	3.089	6	6	0.873	3.322	5.07	4.056	6	1	0	0	TRUE	TRUE
29	8	33	A2-B2	A2-B1	1.183431953	2.169625247	7.363	1.638	0.967	1.061	8.33	2.699	6	6	0.577	1.295	5.07	5.07	6	11	0	0	TRUE	FALSE
30	40	34	A2-B2	A2-B1	1.380670611	0	1.685	1.685	1.466	1.872	3.151	3.557	6	6	0.608	NA	5.07	4.056	7	0	1	0	TRUE	TRUE
31	17	1	B1-A2	B1-A1	0.493096647	1.972386588	0.702	1.357	4.883	1.326	5.585	2.683	6	6	3.291	2.917	4.056	5.07	2	10	0	0	FALSE	FALSE
32	22	4	B1-A2	B1-A1	0.246548323	0.788954635	1.794	2.932	1.061	1.95	2.855	4.882	6	6	3.37	3.276	4.056	5.07	1	4	0	0	FALSE	FALSE
