index	oiposi	oinega	pname	nname	mrposi	mrnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
1	2	3	A1-B1	A1-B2	1.57790927	1.972386588	2.668	1.404	1.435	1.638	4.103	3.042	6	6	1.466	0.421	5.07	5.07	8	10	0	0	TRUE	FALSE
2	11	8	A1-B1	A1-B2	2.761341223	1.972386588	8.783	1.513	1.17	1.201	9.953	2.714	6	6	0.64	0.546	5.07	5.07	14	10	1	0	TRUE	FALSE
3	21	12	A1-B1	A1-B2	2.564102564	1.380670611	1.045	3.994	1.311	0.826	2.356	4.82	6	6	0.327	0.405	5.07	5.07	13	7	0	1	TRUE	FALSE
4	35	15	A1-B1	A1-B2	2.169625247	1.380670611	1.56	0.795	0.983	1.03	2.543	1.825	6	6	0.562	0.515	5.07	5.07	11	7	0	0	TRUE	FALSE
5	36	27	A1-B1	A1-B2	2.169625247	1.380670611	2.106	0.749	2.028	0.874	4.134	1.623	6	6	0.421	0.39	5.07	5.07	11	7	1	0	TRUE	FALSE
6	14	4	A2-B2	A2-B1	3.15581854	1.57790927	0.982	1.887	0.843	1.654	1.825	3.541	6	6	0.499	0.53	5.07	5.07	16	8	0	0	TRUE	FALSE
7	22	9	A2-B2	A2-B1	2.761341223	2.169625247	1.342	0.702	1.185	0.952	2.527	1.654	6	6	0.374	0.358	5.07	5.07	14	11	0	0	TRUE	FALSE
8	28	26	A2-B2	A2-B1	3.15581854	1.57790927	0.64	1.326	2.106	1.7	2.746	3.026	6	6	0.328	0.546	5.07	5.07	16	8	0	0	TRUE	FALSE
9	31	29	A2-B2	A2-B1	2.169625247	2.169625247	1.107	3.369	1.17	1.747	2.277	5.116	6	6	0.406	0.405	5.07	5.07	11	11	0	0	TRUE	FALSE
10	32	33	A2-B2	A2-B1	2.169625247	1.183431953	5.148	1.591	1.482	0.889	6.63	2.48	6	6	0.562	0.874	5.07	5.07	11	6	0	0	TRUE	FALSE
11	5	1	B1-A2	B1-A1	2.296211251	2.169625247	1.545	4.134	1.045	1.778	2.59	5.912	6	6	0.514	0.92	5.226	5.07	12	11	1	0	TRUE	FALSE
12	25	6	B1-A2	B1-A1	1.972386588	2.169625247	0.998	2.012	1.326	1.498	2.324	3.51	6	6	0.499	0.437	5.07	5.07	10	11	0	0	TRUE	FALSE
13	34	19	B1-A2	B1-A1	2.761341223	1.18319858	0.874	0.92	1.154	1.467	2.028	2.387	6	6	0.562	0.687	5.07	5.071	14	6	2	0	TRUE	FALSE
14	38	23	B1-A2	B1-A1	3.15581854	2.169625247	1.373	4.633	1.061	0.983	2.434	5.616	6	6	0.515	0.546	5.07	5.07	16	11	0	0	TRUE	FALSE
15	39	37	B1-A2	B1-A1	2.761341223	1.57790927	7.41	3.588	1.201	1.513	8.611	5.101	6	6	0.514	0.421	5.07	5.07	14	8	0	0	TRUE	FALSE
16	7	13	B2-A1	B2-A2	2.169625247	2.169625247	1.17	1.139	0.998	0.967	2.168	2.106	6	6	0.593	0.296	5.07	5.07	11	11	0	0	TRUE	FALSE
17	10	16	B2-A1	B2-A2	2.887391723	1.57790927	0.998	1.295	1.326	0.905	2.324	2.2	6	6	0.343	0.327	5.195	5.07	15	8	0	0	TRUE	FALSE
18	18	17	B2-A1	B2-A2	2.366863905	1.775147929	1.107	1.341	0.983	0.936	2.09	2.277	6	6	0.515	0.343	5.07	5.07	12	9	0	0	TRUE	FALSE
19	30	20	B2-A1	B2-A2	2.564102564	1.775147929	0.936	1.341	1.123	1.295	2.059	2.636	6	6	0.593	0.437	5.07	5.07	13	9	1	0	TRUE	FALSE
20	40	24	B2-A1	B2-A2	1.896453632	1.972386588	1.872	0.811	1.435	1.389	3.307	2.2	6	6	0.561	0.312	5.273	5.07	10	10	1	0	TRUE	FALSE
21	14	2	A1-B1	A1-B2	1.380670611	1.380670611	2.979	16.66	1.903	1.545	4.882	18.205	6	6	0.531	0.514	5.07	5.07	7	7	0	0	TRUE	FALSE
22	17	4	A1-B1	A1-B2	1.57790927	1.57790927	2.137	3.822	1.123	1.014	3.26	4.836	6	6	0.546	0.39	5.07	5.07	8	8	0	0	TRUE	FALSE
23	22	7	A1-B1	A1-B2	2.564102564	0.986193294	1.216	6.739	1.03	0.702	2.246	7.441	6	6	0.405	0.436	5.07	5.07	13	5	0	0	TRUE	FALSE
24	31	29	A1-B1	A1-B2	1.57790927	1.57790927	5.179	2.434	1.498	1.529	6.677	3.963	6	6	0.499	0.671	5.07	5.07	8	8	0	0	TRUE	FALSE
25	38	36	A1-B1	A1-B2	1.95427008	1.380670611	1.217	2.137	1.653	1.42	2.87	3.557	6	6	0.375	0.343	5.117	5.07	10	7	1	0	TRUE	FALSE
26	18	8	A2-B2	A2-B1	1.380670611	0.986193294	1.81	1.03	1.622	1.279	3.432	2.309	6	6	0.686	0.483	5.07	5.07	7	5	0	0	TRUE	FALSE
27	19	15	A2-B2	A2-B1	1.775147929	1.380670611	1.357	1.139	1.014	2.839	2.371	3.978	6	6	0.593	0.608	5.07	5.07	9	7	1	1	TRUE	FALSE
28	24	20	A2-B2	A2-B1	2.761341223	1.380670611	1.092	4.212	2.402	0.92	3.494	5.132	6	6	0.499	0.671	5.07	5.07	14	7	0	1	TRUE	FALSE
29	25	21	A2-B2	A2-B1	2.169625247	1.183431953	5.522	1.825	1.373	0.858	6.895	2.683	6	6	0.374	0.53	5.07	5.07	11	6	0	0	TRUE	FALSE
30	33	23	A2-B2	A2-B1	2.169625247	1.57294534	1.186	3.4	0.982	1.607	2.168	5.007	6	6	0.327	0.468	5.07	5.086	11	8	1	0	TRUE	FALSE
31	1	10	B1-A2	B1-A1	2.761341223	0.591715976	5.803	2.09	1.809	1.186	7.612	3.276	6	6	0.483	0.874	5.07	5.07	14	3	0	0	TRUE	FALSE
32	5	26	B1-A2	B1-A1	2.913752914	1.183431953	1.295	4.29	1.779	1.123	3.074	5.413	6	6	0.702	0.421	5.148	5.07	15	6	0	1	TRUE	FALSE
33	6	27	B1-A2	B1-A1	1.960399922	1.380670611	9.563	1.108	1.513	0.92	11.076	2.028	6	6	0.546	0.359	5.101	5.07	10	7	0	0	TRUE	FALSE
34	9	34	B1-A2	B1-A1	1.972386588	1.183431953	1.139	3.416	1.17	1.108	2.309	4.524	6	6	0.437	0.655	5.07	5.07	10	6	0	0	TRUE	FALSE
35	30	39	B1-A2	B1-A1	3.713113152	0	2.621	2.527	1.138	1.201	3.759	3.728	6	6	0.297	NA	5.117	4.056	19	0	1	0	TRUE	TRUE
36	3	11	B2-A1	B2-A2	1.972386588	0.788954635	1.638	1.575	1.295	1.233	2.933	2.808	6	6	0.375	0.468	5.07	5.07	10	4	1	0	TRUE	FALSE
37	12	13	B2-A1	B2-A2	1.972386588	0.591715976	1.404	3.697	0.795	0.983	2.199	4.68	6	6	0.343	0.671	5.07	5.07	10	3	0	0	TRUE	FALSE
38	16	28	B2-A1	B2-A2	1.57790927	1.57790927	1.685	1.763	1.435	1.466	3.12	3.229	6	6	0.499	0.359	5.07	5.07	8	8	0	0	TRUE	FALSE
39	37	32	B2-A1	B2-A2	1.775147929	0.246548323	1.045	7.379	1.139	1.045	2.184	8.424	6	6	0.405	0.374	5.07	4.056	9	1	1	0	TRUE	TRUE
40	40	35	B2-A1	B2-A2	3.15581854	0.788954635	0.905	1.451	1.029	1.856	1.934	3.307	6	6	0.328	0.452	5.07	5.07	16	4	1	1	TRUE	FALSE
41	16	9	A1-B1	A1-B2	2.564102564	0	1.732	5.366	1.326	1.935	3.058	7.301	6	6	0.514	NA	5.07	4.056	13	0	0	0	TRUE	TRUE
42	17	18	A1-B1	A1-B2	0	1.972386588	2.465	1.279	1.279	1.685	3.744	2.964	6	6	NA	0.64	4.056	5.07	0	10	0	0	FALSE	FALSE
43	20	27	A1-B1	A1-B2	2.761341223	1.775147929	1.56	1.873	1.139	1.653	2.699	3.526	6	6	0.499	0.484	5.07	5.07	14	9	0	0	TRUE	FALSE
44	32	29	A1-B1	A1-B2	2.761341223	1.380670611	1.45	1.918	1.42	1.716	2.87	3.634	6	6	0.577	0.39	5.07	5.07	14	7	0	0	TRUE	FALSE
45	39	33	A1-B1	A1-B2	2.169625247	0	2.122	3.432	1.809	1.576	3.931	5.008	6	6	0.546	NA	5.07	4.056	11	0	1	0	TRUE	TRUE
46	1	2	A2-B2	A2-B1	2.169625247	1.57790927	7.02	0.92	0.983	0.921	8.003	1.841	6	6	0.405	0.842	5.07	5.07	11	8	0	0	TRUE	FALSE
47	4	3	A2-B2	A2-B1	2.169625247	1.775147929	0.89	1.186	1.544	1.107	2.434	2.293	6	6	0.546	0.39	5.07	5.07	11	9	0	0	TRUE	FALSE
48	11	13	A2-B2	A2-B1	3.353057199	1.57790927	1.061	0.936	1.388	0.998	2.449	1.934	6	6	0.421	0.452	5.07	5.07	17	8	0	0	TRUE	FALSE
49	31	19	A2-B2	A2-B1	1.158301158	2.169625247	4.586	1.514	2.263	1.06	6.849	2.574	6	6	1.248	0.375	5.18	5.07	6	11	0	0	TRUE	FALSE
50	37	21	A2-B2	A2-B1	2.564102564	1.183431953	2.293	1.654	1.498	1.747	3.791	3.401	6	6	0.514	0.92	5.07	5.07	13	6	0	0	TRUE	FALSE
51	7	6	B1-A2	B1-A1	1.972386588	1.57790927	1.232	1.014	1.466	1.217	2.698	2.231	6	6	0.453	0.499	5.07	5.07	10	8	1	0	TRUE	FALSE
52	8	10	B1-A2	B1-A1	2.564102564	1.775147929	3.042	1.232	1.716	1.311	4.758	2.543	6	6	0.562	0.546	5.07	5.07	13	9	0	0	TRUE	FALSE
53	23	26	B1-A2	B1-A1	2.761341223	1.380670611	1.607	7.535	1.841	1.887	3.448	9.422	6	6	0.5	0.655	5.07	5.07	14	7	0	0	TRUE	FALSE
54	35	28	B1-A2	B1-A1	2.169625247	1.380670611	3.65	1.342	1.186	1.138	4.836	2.48	6	6	0.734	0.468	5.07	5.07	11	7	0	0	TRUE	FALSE
55	38	36	B1-A2	B1-A1	2.296211251	1.183431953	1.482	1.607	1.904	1.076	3.386	2.683	6	6	0.562	0.546	5.226	5.07	12	6	1	0	TRUE	FALSE
56	14	5	B2-A1	B2-A2	2.366863905	0.986193294	1.435	6.084	1.716	1.451	3.151	7.535	6	6	0.421	2.48	5.07	5.07	12	5	0	0	TRUE	FALSE
57	24	12	B2-A1	B2-A2	2.303262956	0	0.811	3.946	0.983	1.03	1.794	4.976	6	6	0.514	NA	5.21	4.056	12	0	1	0	TRUE	TRUE
